Label,Dist CenterA-CenterB,Dist min EdgeA-EdgeB,Dist min CenterA-EdgeB,Dist min EdgeA-CenterB
ObjA113_ObjB1,107.576,18.650,21.165,104.908
ObjA114_ObjB2,80.274,74.531,77.081,77.584
ObjA115_ObjB1,85.075,6.649,9.033,82.400
ObjA116_ObjB22,15.802,0.000,2.209,8.869
ObjA117_ObjB24,62.037,47.574,59.400,49.852
ObjA118_ObjB32,40.485,35.627,38.845,37.278
ObjA119_ObjB1,99.408,0.000,1.367,98.052
ObjA120_ObjB1,89.391,16.275,18.030,88.172
ObjA121_ObjB46,70.841,67.739,69.292,69.308
ObjA122_ObjB25,69.500,60.815,64.362,65.942
ObjA123_ObjB25,32.179,24.281,28.461,27.904
ObjA124_ObjB7,34.763,24.608,33.154,26.148
ObjA125_ObjB35,54.814,47.444,50.676,51.565
ObjA126_ObjB35,52.611,47.519,47.711,52.237
ObjA127_ObjB44,56.685,45.940,55.052,48.328
ObjA128_ObjB5,10.065,2.676,7.535,4.230
ObjA129_ObjB4,19.470,8.535,12.964,15.042
ObjA130_ObjB3,52.168,40.902,41.626,50.681
ObjA131_ObjB10,71.056,59.449,65.876,64.453
ObjA132_ObjB27,35.094,28.774,30.438,33.355
ObjA133_ObjB35,52.255,48.321,48.997,51.656
ObjA134_ObjB10,71.726,64.078,65.839,69.813
ObjA135_ObjB19,87.037,76.973,77.879,86.200
ObjA136_ObjB22,30.119,17.581,18.093,29.469
ObjA137_ObjB24,77.061,63.278,74.511,66.216
ObjA138_ObjB24,72.478,66.170,70.022,68.590
ObjA139_ObjB29,50.418,39.113,48.185,41.283
ObjA140_ObjB6,50.831,8.945,16.435,47.251
ObjA141_ObjB1,75.639,0.000,1.328,69.266
ObjA142_ObjB29,47.247,42.444,44.697,45.001
ObjA143_ObjB7,48.750,42.487,46.783,44.521
ObjA144_ObjB7,40.029,33.171,37.924,35.376
ObjA145_ObjB25,59.145,51.490,53.941,56.654
ObjA146_ObjB40,75.634,72.379,74.109,73.989
ObjA147_ObjB40,64.043,60.575,62.507,62.129
ObjA148_ObjB35,59.417,52.488,55.438,56.454
ObjA149_ObjB1,107.818,9.336,11.874,106.165
ObjA150_ObjB10,31.999,23.567,26.384,29.275
ObjA151_ObjB1,61.604,17.376,18.949,59.909
ObjA152_ObjB4,52.089,31.836,34.119,50.222
ObjA153_ObjB1,102.737,11.351,13.389,100.923
ObjA154_ObjB9,58.792,44.737,53.680,50.009
ObjA155_ObjB35,50.590,47.464,48.310,49.840
ObjA156_ObjB35,47.327,42.892,44.071,46.226
ObjA157_ObjB35,30.449,27.045,29.102,28.567
ObjA158_ObjB1,83.126,0.000,2.734,80.489
ObjA159_ObjB6,31.899,0.000,15.024,8.506
ObjA160_ObjB10,42.834,31.511,36.306,38.078
ObjA161_ObjB4,40.175,21.404,22.867,38.483
ObjA162_ObjB29,48.943,29.878,47.083,31.972
ObjA163_ObjB4,27.653,9.647,11.603,26.388
ObjA164_ObjB10,0.688,0.000,1.401,2.173
ObjA165_ObjB1,96.890,10.702,12.405,94.797
ObjA166_ObjB12,32.167,26.191,29.005,29.368
ObjA167_ObjB24,74.679,68.595,72.026,71.253
ObjA168_ObjB12,28.772,24.496,26.680,26.641
ObjA169_ObjB1,73.792,16.092,17.215,72.704
ObjA170_ObjB1,82.350,3.947,6.634,79.341
ObjA171_ObjB46,62.460,59.629,60.693,61.368
ObjA172_ObjB46,51.400,30.588,49.296,32.561
ObjA173_ObjB40,64.587,59.365,62.995,60.958
ObjA174_ObjB40,66.496,51.490,63.946,53.664
ObjA175_ObjB46,54.112,48.508,51.891,50.631
ObjA176_ObjB44,27.477,23.905,25.888,25.448
ObjA177_ObjB13,38.887,33.247,35.923,36.269
ObjA178_ObjB4,27.953,21.266,22.267,26.418
ObjA179_ObjB10,45.043,35.666,40.263,41.118
ObjA180_ObjB24,76.705,71.676,74.073,74.291
ObjA181_ObjB12,40.758,36.742,37.896,39.578
ObjA182_ObjB27,52.459,46.636,48.405,50.566
ObjA183_ObjB1,76.242,3.947,6.070,73.781
ObjA184_ObjB46,77.548,72.367,75.576,74.299
ObjA185_ObjB22,24.636,8.535,11.726,21.420
ObjA186_ObjB46,69.261,65.350,67.424,67.110
ObjA187_ObjB24,67.661,61.469,64.838,64.246
ObjA188_ObjB44,32.032,24.642,26.715,29.864
ObjA189_ObjB4,64.184,43.141,47.437,59.711
ObjA190_ObjB4,37.316,31.202,32.893,35.782
ObjA191_ObjB4,25.257,16.921,21.548,20.892
ObjA192_ObjB43,65.041,62.707,63.734,63.991
ObjA193_ObjB10,82.100,74.531,76.792,79.794
ObjA194_ObjB6,81.402,7.895,10.048,78.790
ObjA195_ObjB25,91.063,83.192,85.390,88.837
ObjA196_ObjB24,70.438,65.612,67.692,68.338
ObjA197_ObjB6,78.273,9.537,12.818,74.851
ObjA198_ObjB25,24.143,17.509,20.125,21.486
ObjA199_ObjB40,52.312,48.799,50.032,51.036
ObjA200_ObjB44,41.174,35.838,37.941,38.949
ObjA201_ObjB4,80.612,61.663,63.167,79.018
ObjA202_ObjB15,22.543,11.031,19.081,13.758
ObjA203_ObjB9,56.711,35.855,51.071,41.220
ObjA204_ObjB10,28.272,15.135,22.812,20.631
ObjA205_ObjB10,54.028,46.969,48.832,52.152
ObjA206_ObjB4,51.424,27.285,28.343,50.221
ObjA207_ObjB12,4.834,0.000,2.841,2.466
ObjA208_ObjB46,22.005,0.000,19.368,2.734
ObjA209_ObjB46,47.347,39.897,45.079,42.174
ObjA210_ObjB31,40.741,26.127,38.484,28.097
ObjA211_ObjB35,57.524,51.998,53.948,55.564
ObjA212_ObjB31,31.455,28.107,28.993,30.538
ObjA213_ObjB10,32.288,27.177,29.031,30.476
ObjA214_ObjB46,88.653,84.749,86.582,86.799
ObjA215_ObjB11,44.887,33.063,34.972,43.074
ObjA216_ObjB11,85.810,72.753,74.823,83.504
ObjA217_ObjB21,81.824,76.268,80.021,78.058
ObjA218_ObjB36,43.180,39.654,41.785,41.005
